CNTYVTD,VTDKEY,BidenD_20G_President,TrumpR_20G_President,JorgensenL_20G_President,HawkinsG_20G_President,Write-InW_20G_President
"2010632",4840,12,18,1,0,0
"2010633",4841,1318,1929,41,5,1
"2010634",4842,1113,1134,17,9,0
"2010635",4843,815,1632,36,8,0
"2010636",4844,211,1357,18,2,0
"2010637",4845,1298,489,12,7,0
"2010638",4846,1228,152,5,6,0
"2010639",4847,499,1319,23,12,0
"2010640",4848,1502,1688,48,6,0
"2010641",4849,1231,1439,20,7,0
"2010642",4850,435,963,22,3,0
"2010643",4851,1638,1298,19,15,0
"2010644",4852,1654,1765,49,21,0
"2010645",4853,1339,628,23,9,0
"2010646",4854,1022,633,8,4,0
"2010647",4855,1640,1246,9,10,0
"2010648",4856,1106,1631,30,11,0
"2010649",4857,2014,936,16,12,0
"2010650",4858,1176,1619,32,6,1
"2010651",4859,1192,1090,30,6,0
"2010652",4860,1671,426,8,6,0
"2010653",4861,263,89,4,0,0
"2010654",4862,965,981,19,5,0
"2010655",4863,1449,1418,39,7,0
"2010656",4864,272,22,1,0,0
"2010657",4865,970,531,21,7,0
"2010658",4866,922,1240,39,8,0
"2010659",4867,775,1367,20,5,0
"2010660",4868,2026,353,7,12,1
"2010661",4869,1245,999,31,10,0
"2010662",4870,413,1250,17,2,0
"2010663",4871,299,189,8,0,0
"2010664",4872,1106,422,16,7,0
"2010665",4873,470,1587,22,4,0
"2010666",4874,0,0,0,0,0
"2010667",4875,615,1012,20,7,0
"2010668",4876,1449,1592,53,8,0
"2010669",4877,1175,1574,28,9,0
"2010670",4878,772,1867,41,4,0
"2010671",4879,1236,1078,37,11,0
"2010672",4880,1065,1671,39,7,0
"2010673",4881,479,1688,31,3,0
"2010674",4882,1259,2284,29,2,0
"2010675A",4883,704,1157,21,8,1
"2010675B",4884,0,0,0,0,0
"2010676",4885,1171,756,22,6,0
"2010677",4886,524,208,7,4,0
"2010678",4887,1359,184,4,7,0
"2010679",4888,316,562,10,2,0
"2010680",4889,121,24,3,0,0
"2010681",4890,71,30,3,1,0
"2010682",4891,696,1613,27,3,0
"2010683",4892,110,52,1,0,0
"2010684",4893,1434,1804,29,8,1
"2010685",4894,96,82,0,0,0
"2010686",4895,75,27,1,0,0
"2010687",4896,945,1327,28,5,0
"2010688",4897,1049,2499,47,10,0
"2010689",4898,945,789,20,6,0
"2010690",4899,1112,2095,35,8,0
"2010691",4900,1082,2402,39,10,0
"2010692",4901,832,1651,27,8,0
"2010693",4902,386,119,2,0,0
"2010694",4903,575,333,9,6,0
"2010695",4904,426,671,15,9,0
"2010696",4905,536,784,20,8,0
"2010697",4906,1251,532,18,5,0
"2010698",4907,748,151,7,6,0
"2010699",4908,848,1000,24,4,0
"2010700",4909,278,1488,14,2,0
"2010701",4910,193,161,5,2,1
"2010702",4911,293,59,3,0,0
"2010703",4912,768,1314,37,5,0
"2010704",4913,580,1928,29,6,0
"2010705",4914,434,72,2,2,0
"2010706",4915,1357,753,16,8,0
"2010707",4916,298,323,7,1,0
"2010708",4917,189,112,4,2,0
"2010709",4918,1776,1680,36,12,1
"2010710",4919,1298,953,29,4,0
"2010711",4920,2084,1393,25,10,0
"2010712",4921,1915,1070,39,14,0
"2010713",4922,820,616,10,6,0
"2010714",4923,126,90,3,1,0
"2010715",4924,314,238,4,1,0
"2010716",4925,592,1289,26,11,0
"2010717",4926,1094,231,7,7,0
"2010718",4927,1245,1569,37,6,0
"2010719",4928,454,499,12,3,0
"2010720",4929,719,958,25,7,0
"2010721",4930,1089,1195,28,5,0
"2010722",4931,2459,245,10,15,0
"2010723",4932,1482,458,15,9,0
"2010724",4933,462,520,13,1,0
"2010725",4934,843,538,9,3,0
"2010726",4935,232,1195,13,2,0
"2010727",4936,455,130,5,4,1
"2010728",4937,292,295,13,2,0
"2010729",4938,207,97,7,1,0
"2010730",4939,935,1123,26,3,0
"2010731",4940,1347,870,28,14,1
"2010732",4941,700,777,31,4,0
"2010733",4942,110,53,1,0,0
"2010734",4943,815,1150,17,3,0
"2010735",4944,912,1264,29,7,0
"2010736",4945,973,506,29,2,0
"2010737",4946,9,15,0,0,0
"2010738",4947,267,48,1,1,0
"2010739",4948,763,554,11,8,0
"2010740",4949,63,70,0,0,0
"2010741",4950,947,497,8,4,0
"2010742",4951,522,699,17,2,0
"2010743",4952,74,41,1,1,0
"2010744",4953,768,837,33,8,0
"2010745",4954,897,967,23,13,0
"2010746",4955,282,213,7,3,0
"2010747",4956,1224,876,24,10,0
"2010748",4957,598,407,18,6,0
"2010749",4958,153,51,5,1,0
"2010750",4959,270,257,8,0,0
"2010751",4960,918,1052,27,9,0
"2010752",4961,367,653,12,4,0
"2010753",4962,243,126,6,0,0
"2010754",4963,614,56,11,3,0
"2010755",4964,1125,747,14,5,0
"2010756",4965,812,380,11,9,0
"2010757",4966,1677,382,16,7,0
"2010758",4967,1133,2461,46,10,0
"2010759",4968,839,860,17,10,0
"2010760",4969,597,1462,20,2,0
"2010761",4970,560,904,21,3,0
"2010762",4971,725,601,6,3,0
"2010763",4972,421,280,7,7,0
"2010764",4973,834,927,20,8,0
"2010765",4974,1211,507,15,6,0
"2010766",4975,189,75,4,2,0
"2010767",4976,25,29,0,0,0
"2010768",4977,705,1428,18,5,0
"2010769",4978,97,14,1,0,0
"2010770",4979,139,70,1,0,0
"2010771",4980,563,365,15,6,0
"2010772",4981,1425,2227,39,4,0
"2010773",4982,1276,807,7,5,0
"2010774",4983,278,83,3,2,0
"2010775",4984,1606,1012,44,3,0
"2010776",4985,1095,1095,31,8,0
"2010777",4986,192,101,6,2,0
"2010778",4987,138,129,3,1,0
"2010779",4988,298,139,2,2,1
"2010780",4989,206,121,1,1,0
"2010781",4990,1339,951,25,10,0
"2010782",4991,744,960,24,8,0
"2010783",4992,458,73,4,0,0
"2010784",4993,520,26,2,3,0
"2010785",4994,1221,1080,29,10,0
"2010786",4995,413,253,2,2,0
"2010787",4996,208,97,5,1,0
"2010788",4997,189,96,2,0,0
"2010789",4998,1056,1085,19,10,0
"2010790",4999,1505,825,22,10,0
"2010791",5000,0,0,0,0,0
"2010792",5001,804,327,11,5,0
"2010793",5002,785,806,15,4,1
"2010794",5003,225,38,1,0,0
"2010795",5004,433,249,5,4,0
"2010796",5005,1352,868,19,10,0
"2010797",5006,0,0,0,0,0
"2010798",5007,268,148,8,2,0
"2010799",5008,587,292,11,3,0
"2010800",5009,1336,1536,40,7,0
"2010801",5010,154,78,2,2,0
"2010802",5011,0,0,0,0,0
"2010803",5012,1495,2140,58,12,0
"2010804",5013,2009,1622,28,17,0
"2010805",5014,659,1564,23,2,0
"2010806",5015,940,1317,35,7,0
"2010807",5016,922,216,19,2,0
"2010808",5017,2,2,0,0,0
"2010809",5018,20,33,0,0,0
"2010810",5019,52,25,0,0,0
"2010811",5020,104,46,1,0,0
"2010812",5021,1,0,0,0,0
"2010813",5022,1812,1185,32,13,0
"2010814",5023,1020,348,6,6,0
"2010815",5024,0,0,0,0,0
"2010816",5025,14,10,0,1,0
"2010817",5026,615,1129,19,4,0
"2010818",5027,260,94,3,1,0
"2010819",5028,82,65,1,1,0
"2010820",5029,480,449,8,4,0
"2010821",5030,466,117,3,2,0
"2010822",5031,772,69,6,1,0
"2010823",5032,1084,1128,17,11,0
"2010824",5033,1108,374,11,5,0
"2010825",5034,894,840,18,5,0
"2010826",5035,202,106,6,0,0
"2010827",5036,281,189,4,2,0
"2010828",5037,470,1126,26,4,0
"2010829",5038,34,28,0,1,0
"2010830",5039,62,19,1,1,0
"2010831",5040,9,3,0,0,0
"2010832",5041,149,58,1,1,0
"2010833",5042,3,2,0,0,0
"2010834",5043,146,15,0,1,0
"2010835",5044,126,69,3,0,0
"2010836",5045,160,18,1,1,0
"2010837",5046,50,24,2,0,0
"2010838",5047,0,0,0,0,0
"2010839",5048,539,174,7,4,0
"2010840",5049,806,432,11,7,0
"2010841",5050,1923,611,15,9,0
"2010842",5051,992,649,14,6,0
"2010843",5052,802,214,10,1,0
"2010844",5053,854,1962,40,4,0
"2010845",5054,88,130,0,0,0
"2010846",5055,137,29,1,0,0
"2010847",5056,1288,423,9,8,0
"2010848",5057,939,376,14,3,0
"2010849",5058,929,540,13,4,0
"2010850",5059,108,55,1,0,0
"2010851",5060,1293,1779,37,9,0
"2010852",5061,635,1101,23,4,0
"2010853",5062,723,1360,33,2,0
"2010854",5063,64,16,1,0,0
"2010855",5064,868,579,17,4,0
"2010856",5065,0,0,0,0,0
"2010857",5066,0,0,0,0,0
"2010858",5067,195,9,1,1,0
"2010859",5068,452,161,5,1,0
"2010860",5069,949,915,27,5,0
"2010861",5070,1018,218,4,10,0
"2010862",5071,1455,1690,29,6,0
"2010863",5072,287,30,1,1,0
"2010864",5073,1048,425,12,9,0
"2010865",5074,1206,1110,24,6,0
"2010866",5075,0,0,0,0,0
"2010867",5076,568,169,2,2,0
"2010868",5077,766,364,11,2,0
"2010869",5078,141,36,1,0,0
"2010870",5079,0,0,0,0,0
"2010871",5080,21,4,0,0,0
"2010872",5081,137,228,3,1,2
"2010873",5082,388,170,10,1,0
"2010874",5083,857,1642,17,6,0
"2010875",5084,1543,1284,26,6,1
"2010876",5085,746,1104,23,5,0
"2010877",5086,1095,580,19,10,0
"2010878",5087,403,857,10,2,0
"2010879",5088,1155,903,15,8,0
"2010880",5089,794,1506,24,3,0
"2010881",5090,1363,494,17,5,0
"2010882",5091,1566,862,13,10,0
"2010883",5092,1346,361,15,6,0
"2010884",5093,183,51,1,2,0
"2010885",5094,1225,1256,27,3,0
"2010886",5095,455,258,12,1,0
"2010887",5096,236,133,10,1,0
"2010888",5097,1139,482,10,7,0
"2010889",5098,115,26,3,1,0
"2010890",5099,867,481,26,3,0
"2010891",5100,703,334,13,2,0
"2010892",5101,782,223,16,1,0
"2010893",5102,618,681,13,2,0
"2010894",5103,1334,234,8,6,0
"2010895",5104,514,198,17,4,0
"2010896",5105,1018,388,16,2,0
"2010897",5106,869,679,18,1,0
"2010898",5107,927,506,27,8,0
"2010899",5108,522,557,12,1,0
"2010900",5109,4,5,1,0,0
"2010901",5110,1306,1315,34,7,0
"2010902",5111,1521,1082,34,6,0
"2010903",5112,654,1475,28,1,0
"2010904",5113,0,0,0,0,0
"2010905",5114,315,267,2,2,0
"2010906",5115,1308,1304,25,7,0
"2010907",5116,110,14,0,1,0
"2010908",5117,0,0,0,0,0
"2010909",5118,620,1350,20,3,0
"2010910",5119,69,49,1,0,0
"2010911",5120,142,212,5,2,0
"2010912",5121,535,544,7,5,0
"2010913",5122,143,45,0,2,0
"2010914",5123,43,24,1,0,0
"2010915",5124,700,1467,30,3,0
"2010916",5125,891,2109,45,4,0
"2010917",5126,0,0,0,0,0
"2010918",5127,4,1,0,0,0
"2010919",5128,1552,920,18,6,0
"2010920",5129,64,149,3,0,0
"2010921",5130,61,145,2,1,0
"2010922",5131,0,0,0,0,0
"2010923",5132,1163,2228,40,10,0
"2010924",5133,0,0,0,0,0
"2010925",5134,0,0,0,0,0
"2010926",5135,830,1235,32,3,0
"2010927",5136,1836,1238,54,7,0
"2010928",5137,23,21,0,0,0
"2010929",5138,0,0,0,0,0
"2010930",5139,271,57,2,1,0
"2010931",5140,59,39,2,0,0
"2010932",5141,0,0,0,0,0
"2010933",5142,428,129,8,1,0
"2010934",5143,32,11,1,1,0
"2010935",5144,1082,581,14,8,0
"2010936",5145,40,16,0,0,0
"2010937",5146,1318,634,30,3,0
"2010938",5147,102,30,1,2,0
"2010939",5148,0,0,0,0,0
"2010940",5149,13,0,0,0,0
"2010941",5150,406,305,17,3,0
"2010942",5151,107,50,1,1,0
"2010943",5152,213,115,0,4,0
"2010944",5153,36,17,1,1,0
"2010945",5154,30,14,0,0,0
"2010946",5155,242,230,7,0,0
"2010947",5156,424,242,13,3,0
"2010948",5157,168,328,6,1,0
"2010949",5158,689,171,3,1,0
"2010950",5159,0,0,0,0,0
"2010951",5160,165,65,1,3,0
"2010952",5161,204,166,5,3,0
"2010953",5162,153,225,4,1,0
"2010954",5163,453,115,4,4,0
"2010955",5164,803,1234,23,2,0
"2010956",5165,1077,278,8,6,0
"2010957",5166,343,61,2,2,0
"2010958",5167,850,216,6,2,0
"2010959",5168,0,0,0,0,0
"2010960",5169,1059,260,10,4,0
"2010961",5170,813,235,7,3,0
"2010962",5171,59,7,2,1,0
"2010963",5172,331,227,3,0,0
"2010964",5173,954,880,24,3,0
"2010965",5174,65,128,0,0,0
"2010966",5175,512,187,7,1,0
"2010967",5176,1003,254,8,7,0
"2010968",5177,1477,338,19,3,0
"2010969",5178,405,8,5,3,0
"2010970",5179,346,47,3,3,0
"2010971",5180,233,113,2,1,0
"2010972",5181,791,1558,29,4,0
"2010973",5182,419,456,16,3,0
"2010974",5183,737,370,12,8,0
"2010975",5184,85,60,2,0,0
"2010976",5185,202,200,6,0,0
"2010977",5186,468,308,3,5,0
"2010978",5187,63,74,1,0,0
"2010979",5188,0,0,0,0,0
"2010980",5189,409,695,8,2,0
"2010981",5190,18,13,0,0,0
"2010982",5191,752,1685,41,3,0
"2010983",5192,1387,1487,31,5,0
"2010984",5193,104,15,0,0,0
"2010985",5194,141,101,4,0,0
"2010986",5195,254,68,1,1,0
"2010987",5196,618,82,3,0,0
"2010988",5197,496,1477,22,3,0
"2010989",5198,1,0,0,0,0
"2010990",5199,16,23,0,0,0
"2010991",5200,1156,1073,27,5,0
"2010992",5201,386,315,7,5,0
"2010993",5202,0,0,0,0,0
"2010994",5203,1403,245,8,6,0
"2010995",5204,1249,146,8,3,0
"2010996",5205,276,261,7,0,0
"2010997",5206,766,116,10,3,0
"2010998",5207,5,0,0,0,0
"2010999",5208,0,0,0,0,0
"2011000",5209,179,46,1,0,0
"2011001",5210,694,264,6,2,0
"2011002",5211,414,124,4,2,0
"2011003",5212,106,26,1,0,0
"2011004",5213,336,237,15,1,0
"2011005",5214,0,0,0,0,0
"2011006",5215,872,125,10,4,0
"2011007",5216,1007,320,12,5,0
"2011008",5217,220,763,6,4,0
"2011009",5218,110,71,1,0,0
"2011010",5219,615,180,8,2,0
"2011011",5220,16,10,0,0,0
"2011012",5221,720,409,5,5,0
"2011013",5222,0,0,0,0,0
"2011014",5223,0,0,0,0,0
"2011015",5224,0,0,0,0,0
"2011016",5225,919,1792,27,5,0
"2011017",5226,156,46,3,1,0
"2011018",5227,0,0,0,0,0
"2011019",5228,154,26,1,2,0
"2011020",5229,648,312,9,1,0
"2011021",5230,412,302,6,2,0
"2011022",5231,655,1168,24,7,0
"2011023",5232,300,204,3,3,0
"2011024",5233,77,202,3,1,0
"2011025",5234,349,263,6,2,0
"2011026",5235,642,436,11,5,0
"2011027",5236,126,270,3,1,0
"2011028",5237,1450,1058,27,8,0
"2011029",5238,969,1020,22,6,0
"2011030",5239,115,63,1,1,0
"2011031",5240,406,946,12,3,0
"2011032",5241,107,81,4,1,0
"2011033",5242,246,184,8,2,0
"2011034",5243,592,442,12,3,0
"2011035",5244,28,23,0,0,0
"2011036",5245,16,14,1,0,0
"2011037",5246,1011,720,8,3,0
"2011038",5247,913,1029,19,4,0
"2011039",5248,0,0,0,0,0
"2011040",5249,581,222,9,4,0
"2011041",5250,425,206,5,2,0
"2011042",5251,907,473,10,3,0
"2011043",5252,669,927,20,3,1
"2011044",5253,85,73,2,1,0
"2011045",5254,276,232,5,2,0
"2011046",5255,437,383,10,4,0
"2011047",5256,402,440,9,6,0
"2011048",5257,195,280,9,3,0
"2011049",5258,198,98,3,3,0
"2011050",5259,578,47,0,2,0
"2011051",5260,0,0,0,0,0
"2011052",5261,0,0,0,0,0
"2011053",5262,521,234,10,4,0
"2011054",5263,925,1145,38,8,0
"2011055",5264,1151,1349,19,5,0
"2011056",5265,1110,1283,21,5,0
"2011057",5266,2,4,0,0,0
"2011058",5267,104,90,2,1,0
"2011059",5268,633,582,10,6,0
"2011060",5269,1338,249,14,10,0
"2011061",5270,1053,191,8,6,0
"2011062",5271,530,1174,15,2,0
"2011063",5272,950,695,8,5,0
"2011064",5273,1060,1042,16,12,0
"2011065",5274,740,1366,20,2,1
"2011066",5275,5,1,0,0,0
"2011067",5276,805,381,9,4,0
"2011068",5277,1200,655,11,2,0
"2011069",5278,0,0,0,0,0
"2011070",5279,76,41,0,0,0
"2011071",5280,1299,749,19,5,0
"2011072",5281,633,423,10,4,0
"2011073",5282,0,0,0,0,0
"2011074",5283,431,255,8,4,0
"2011075",5284,0,0,0,0,0
"2011076",5285,1382,717,21,12,0
"2011077",5286,1406,596,12,8,1
"2011078",5287,799,803,19,3,0
"2011079",5288,1035,426,11,6,0
"2011080",5289,384,378,9,4,0
"2011081",5290,114,31,1,0,0
"2011082",5291,0,0,0,0,0
"2011083",5292,0,0,0,0,0
"2011084",5293,154,201,7,1,0
"2011085",5294,231,1529,18,2,0
"2011086",5295,1088,2334,46,4,0
"2011087",5296,1193,557,20,8,0
"2011088",5297,252,231,7,2,0
"2011089",5298,2,1,0,0,0
"2011090",5299,180,182,4,1,0
"2011091",5300,790,810,15,3,0
"2011092",5301,376,301,8,2,0
"2011093",5302,379,1165,15,5,0
"2011094",5303,0,0,0,0,0
"2011095",5304,677,1211,24,4,0
"2011096",5305,596,1386,27,8,0
"2011097",5306,554,326,10,6,0
"2011098",5307,978,192,5,4,0
"2011099",5308,2,1,0,0,0
"2011100",5309,248,196,3,0,0
"2011101",5310,543,689,15,1,0
"2011102",5311,954,1273,33,6,0
"2011103",5312,649,416,14,6,0
"2011104",5313,719,1021,16,4,0
"2011105",5314,79,20,1,0,0
"2011106",5315,433,110,4,2,0
"2011107",5316,62,45,0,0,0
"2011108",5317,73,88,1,1,0
"2011109",5318,24,33,1,0,0
"2011110",5319,650,873,20,2,0
"2011111",5320,727,838,22,8,0
"2011112",5321,723,840,16,0,0
"2011113",5322,1085,729,18,8,0
"2011114",5323,1270,285,13,6,0
"2011115",5324,201,204,2,1,0
"2011116",5325,658,547,7,4,1
"2011117",5326,977,1087,17,2,0
"2011118",5327,1210,512,18,10,0
"2011119",5328,3,0,0,0,0
"2011120",5329,769,679,18,6,0
"2011121",5330,140,24,1,1,0
"2011122",5331,636,113,11,4,0
"2011123",5332,604,488,8,6,0
"2011124",5333,0,0,0,0,0
"2011125",5334,0,0,0,0,0
"2011126",5335,942,320,7,5,0
"2011127",5336,594,200,5,4,0
"2011128",5337,887,1607,30,4,1
"2011129",5338,0,0,0,0,0
"2011130",5339,261,171,3,1,0
"2011131",5340,92,172,4,1,0
"2011132",5341,0,0,0,0,0
"2011133",5342,31,22,0,0,0
"2011134",5343,894,1337,26,4,0
"2011135",5344,1459,772,24,10,0
"2011136",5345,1511,552,23,9,0
"2011137",5346,1144,414,18,5,0
"2011138",5347,667,362,6,4,0
"2011139",5348,1464,390,16,7,0
"2011140",5349,107,45,2,1,0
"2011141",5350,0,0,0,0,0
"2011142",5351,48,255,3,0,0
"2011143",5352,0,0,0,0,0
"2011144",5353,396,821,17,3,0
"2011145",5354,978,1517,29,1,0
"2011146",5355,768,1186,25,3,0
"2011147",5356,38,9,0,0,0
"2011148",5357,490,170,4,3,0
"2011149",5358,1303,1182,26,5,0
"2011150",5359,0,0,0,0,0
"2011151",5360,778,1733,40,1,0
"2011152",5361,37,156,1,0,0
"2011153",5362,0,0,0,0,0
"2011154",5363,0,0,0,0,0
"2011155",5364,2,0,0,0,0
"2011156",5365,0,0,0,0,0
"2011157",5366,0,0,0,0,0
"2011158",5367,0,0,0,0,0
"2011159",5368,0,0,0,0,0
"2011160",5369,0,0,0,0,0
"2011161",5370,0,0,0,0,0
"2011162",5371,0,0,0,0,0
"2011163",5372,0,0,0,0,0
"2011164",5373,0,0,0,0,0
"2011165",5374,0,0,0,0,0
"2030001",5375,511,953,17,3,0
"2030002",5376,700,379,4,4,2
"2030003",5377,895,96,6,2,0
"2030004",5378,307,476,4,0,0
"2030005",5379,135,551,5,1,0
"2030006",5380,190,959,10,1,2
"2030007",5381,170,459,7,1,0
"2030008",5382,523,1282,28,1,0
"2030009",5383,221,833,7,3,0
"2030010",5384,191,601,4,2,0
"2030011",5385,134,213,2,0,0
"2030012",5386,281,1657,25,0,0
"2030013",5387,234,1548,15,2,1
"2030014",5388,208,775,12,1,1
"2030015",5389,79,750,5,1,0
"2030016",5390,63,385,6,0,0
"2030017",5391,486,578,8,2,0
"2030018",5392,323,984,12,1,0
"2030019",5393,400,1743,27,3,0
"2030020",5394,362,1351,15,4,0
"2030021",5395,147,378,7,0,0
"2030022",5396,612,386,8,6,0
"2030023",5397,30,411,6,0,0
"2030024",5398,152,531,5,2,0
"2030025",5399,294,1714,23,1,1
"2030026",5400,252,1462,26,1,0
"2050101",5401,20,207,1,0,0
"2050102",5402,18,254,3,0,0
"2050201",5403,14,189,3,0,0
"2050202",5404,49,509,2,0,0
"2050301",5405,64,471,5,1,0
"2050401",5406,30,238,0,0,0
"2070001",5407,28,259,1,0,0
"2070002",5408,79,371,2,2,0
"2070003",5409,70,303,3,0,0
"2070004",5410,38,143,2,3,0
"2070005",5411,53,174,5,1,0
"2070006",5412,28,196,1,0,0
"2070007",5413,5,64,0,0,0
"2070008",5414,21,72,0,0,0
"2070009",5415,17,162,1,0,0
"2070010",5416,14,96,0,0,0
"2090100",5417,0,0,0,0,0
"2090101",5418,0,0,0,0,0
"2090102",5419,0,0,0,0,0
"2090103",5420,0,0,0,0,0
"2090110",5421,900,657,24,4,2
"2090112",5422,1073,370,22,15,0
"2090113",5423,1122,366,19,11,0
"2090114",5424,778,325,18,2,1
"2090115",5425,977,368,27,9,0
"2090120",5426,548,340,21,2,0
"2090121",5427,1124,195,22,9,0
"2090122",5428,540,120,19,4,2
"2090125",5429,449,257,9,4,1
"2090128",5430,181,122,3,2,0
"2090132",5431,383,140,16,5,1
"2090134",5432,593,384,16,5,0
"2090136",5433,804,443,17,10,0
"2090140",5434,1347,356,24,9,1
"2090141",5435,365,157,10,3,0
"2090142",5436,1303,380,22,11,0
"2090145",5437,474,130,8,6,0
"2090200",5438,0,0,0,0,0
"2090203",5439,1349,730,41,14,1
"2090204",5440,400,304,5,4,0
"2090205",5441,1255,909,48,2,2
"2090206",5442,1004,683,30,9,0
"2090216",5443,77,66,3,1,0
"2090217",5444,11,5,0,0,0
"2090218",5445,5,4,0,0,0
"2090219",5446,222,188,5,1,0
"2090220",5447,1211,983,60,14,1
"2090221",5448,1119,695,29,5,0
"2090223",5449,1033,655,36,11,0
"2090225",5450,35,51,1,0,0
"2090227",5451,1144,712,23,6,0
"2090228",5452,893,532,18,2,0
"2090231",5453,1395,721,44,10,0
"2090252",5454,949,555,26,10,0
"2090253",5455,1113,624,33,8,0
"2090254",5456,920,545,20,2,0
"2090314",5457,612,852,21,2,2
"2090315",5458,666,925,21,2,0
"2090316",5459,989,606,24,12,1
"2090317",5460,236,62,6,6,0
"2090319",5461,657,589,21,5,0
"2090320",5462,742,992,16,5,0
"2090325",5463,190,284,6,1,1
"2090330",5464,142,50,2,1,0
"2090331",5465,391,138,12,3,0
"2090332",5466,1421,615,36,14,2
"2090333",5467,880,1166,18,7,0
"2090335",5468,1192,1591,45,5,0
"2090336",5469,1098,691,35,11,0
"2090337",5470,1010,1609,41,6,1
"2090338",5471,864,1050,20,4,0
"2090339",5472,359,661,12,4,0
"2090340",5473,887,447,25,10,1
"2090342A",5474,444,517,15,5,0
"2090342B",5475,14,22,0,0,0
"2090344",5476,1000,1502,34,6,0
"2090347",5477,849,724,32,8,0
"2090351",5478,757,210,12,11,0
"2090371",5479,909,781,30,3,2
"2090372",5480,53,32,1,0,0
"2090400",5481,0,0,0,0,0
"2090422",5482,729,493,34,5,0
"2090423A",5483,784,495,21,8,0
"2090423B",5484,0,0,0,0,0
"2090423C",5485,0,0,0,0,0
"2090424",5486,979,969,32,9,4
"2090425",5487,267,400,7,1,0
"2090426",5488,1115,1076,39,5,1
"2090430",5489,527,559,14,2,0
"2090432",5490,675,954,26,5,0
"2090435",5491,1438,1398,56,8,1
"2090436",5492,554,737,21,1,0
"2090438",5493,287,154,4,1,1
"2090440",5494,168,255,5,1,1
"2090441",5495,742,1084,33,2,0
"2090442",5496,1350,1132,35,7,1
"2090443",5497,1035,1072,29,4,1
"2090444",5498,1041,1333,27,3,1
"2090445",5499,865,932,31,1,0
"2090446",5500,939,986,40,6,0
"2090448",5501,665,928,24,4,0
"2090449",5502,673,985,20,1,1
"2090450A",5503,408,605,11,1,1
"2090450B",5504,175,261,4,0,1
"2090451",5505,650,684,18,2,2
"2110101",5506,50,293,7,1,0
"2110201",5507,49,286,5,0,0
"2110202",5508,0,25,0,0,0
"2110301",5509,53,403,6,0,0
"2110302",5510,1,29,1,0,0
"2110303",5511,12,71,0,0,0
"2110401",5512,24,291,5,1,0
"2110402",5513,17,88,1,1,0
"2130001",5514,97,481,8,2,2
"2130002",5515,39,157,5,1,1
"2130003",5516,498,276,5,6,0
"2130004",5517,284,871,9,2,3
"213001A",5518,198,1107,8,2,1
"213001M",5519,411,1104,7,5,2
"213001T",5520,269,1076,6,3,3
"213002E",5521,223,1192,15,0,1
"213002M",5522,111,450,5,1,1
"213003B",5523,243,1682,24,5,3
"213003C",5524,281,1305,7,2,1
"213003M",5525,153,893,7,3,1
"213003N",5526,130,702,5,1,2
"213004A",5527,193,333,10,1,4
"213004B",5528,317,951,13,3,8
"213004W",5529,137,558,3,1,1
"21301CR",5530,204,1204,13,2,2
"21301MN",5531,189,732,8,1,0
"21301TC",5532,325,1461,10,6,1
"21303CS",5533,230,1117,8,1,1
"21303NW",5534,76,409,3,2,2
"21303WS",5535,132,739,5,3,3
"21304LP",5536,353,1482,10,2,1
"21304MS",5537,235,507,6,1,2
"21304SE",5538,430,1874,15,6,2
"2132GBN",5539,324,1330,10,1,2
"2132GBS",5540,264,1342,11,4,1
"2132PSN",5541,276,1137,14,2,4
"2132PSS",5542,300,1416,11,5,2
"2134NLP",5543,138,1023,3,1,1
"2150001",5544,256,120,2,1,0
"2150002",5545,579,496,3,5,0
"2150003",5546,371,198,3,2,0
"2150004",5547,1090,607,8,10,0
"2150005",5548,587,400,3,8,0
"2150006",5549,712,626,7,9,0
"2150007",5550,1025,814,13,2,0
"2150008",5551,568,557,4,5,0
"2150009",5552,1134,852,10,7,0
"2150010",5553,788,479,10,5,0
"2150011",5554,738,487,5,2,1
"2150012",5555,88,71,2,1,0
"2150013",5556,1513,1001,23,11,0
"2150014",5557,445,251,4,5,0
"2150015",5558,217,158,2,1,0
"2150016",5559,1039,422,8,7,0
"2150017",5560,533,371,6,1,0
"2150018",5561,82,84,1,1,0
"2150019",5562,50,70,1,1,0
"2150020",5563,1150,941,15,20,0
"2150021",5564,147,92,1,1,0
"2150022",5565,239,121,2,2,1
"2150023",5566,698,353,10,7,0
"2150024",5567,23,56,0,0,0
"2150025",5568,890,576,4,6,0
"2150026",5569,326,130,4,2,0
"2150027",5570,316,134,4,3,0
"2150028",5571,832,601,12,6,1
"2150029",5572,309,350,7,1,0
"2150030",5573,1447,873,10,12,0
"2150031",5574,587,446,7,2,0
"2150032",5575,844,480,13,8,1
"2150033",5576,622,249,5,5,0
"2150034",5577,319,188,3,1,0
"2150035",5578,1155,581,15,18,0
"2150036",5579,1162,607,4,16,0
"2150037",5580,324,199,3,2,1
"2150038",5581,1175,965,8,4,0
"2150039",5582,682,364,9,8,0
"2150040",5583,767,419,6,8,0
"2150041",5584,1029,592,10,9,0
"2150042",5585,1028,760,6,5,0
"2150043",5586,566,392,8,4,0
"2150044",5587,574,312,7,0,0
"2150045",5588,508,412,7,6,0
"2150046",5589,117,85,0,2,0
"2150047",5590,512,309,2,2,0
"2150048",5591,1037,640,6,9,0
"2150049",5592,885,502,6,4,0
"2150050",5593,725,743,7,8,0
"2150051",5594,734,616,10,6,0
